id,lat,lon,z,id_user,waktu
665,-7.2793484,112.797226,0.013759547,1,1458474794119
666,-7.2793484,112.797226,0.000679997,1,1458474794139
667,-7.2793484,112.797226,0.011066103,1,1458474794151
668,-7.2793484,112.797226,0.004125553,1,1458474794159
669,-7.2793484,112.797226,0.013092773,1,1458474794169
670,-7.2793484,112.797226,0.021117270,1,1458474794183
671,-7.2793484,112.797226,0.038572576,1,1458474794189
672,-7.2793484,112.797226,0.000160337,1,1458474794199
673,-7.2793484,112.797226,0.002328185,1,1458474794209
674,-7.2793484,112.797226,0.023783552,1,1458474794220
675,-7.2793484,112.797226,0.002803582,1,1458474794231
676,-7.2793484,112.797226,0.005325017,1,1458474794240
677,-7.2793484,112.797226,0.000442051,1,1458474794262
678,-7.2793484,112.797226,0.001944880,1,1458474794250
679,-7.2793484,112.797226,0.002294720,1,1458474794274
680,-7.2793484,112.797226,0.001348248,1,1458474794280
681,-7.2793484,112.797226,0.001499223,1,1458474794289
682,-7.2793484,112.797226,0.004689798,1,1458474794299
683,-7.2793484,112.797226,0.026350847,1,1458474794316
684,-7.2793484,112.797226,0.005561139,1,1458474794323
685,-7.2793484,112.797226,0.000021496,1,1458474794330
686,-7.2793484,112.797226,0.000565328,1,1458474794347
687,-7.2793484,112.797226,0.002061988,1,1458474794350
688,-7.2793484,112.797226,0.002854680,1,1458474794370
689,-7.2793484,112.797226,0.000261767,1,1458474794360
690,-7.2793484,112.797226,0.028678475,1,1458474794380
691,-7.2793484,112.797226,0.011360086,1,1458474794399
692,-7.2793484,112.797226,0.002520644,1,1458474794391
693,-7.2793484,112.797226,0.014167712,1,1458474794409
694,-7.2793484,112.797226,0.000033535,1,1458474794419
695,-7.2793484,112.797226,0.016777892,1,1458474794429
696,-7.2793484,112.797226,0.000096922,1,1458474794441
697,-7.2793484,112.797226,0.000817360,1,1458474794449
698,-7.2793484,112.797226,0.002550240,1,1458474794459
699,-7.2793484,112.797226,0.012088435,1,1458474794474
700,-7.2793484,112.797226,0.000115463,1,1458474794479
701,-7.2793484,112.797226,0.011971328,1,1458474794489
702,-7.2793484,112.797226,0.016882530,1,1458474794499
703,-7.2793484,112.797226,0.000400898,1,1458474794509
704,-7.2793484,112.797226,0.002415270,1,1458474794520
705,-7.2793484,112.797226,0.002049677,1,1458474794529
706,-7.2793484,112.797226,0.000001917,1,1458474794541
707,-7.2793484,112.797226,0.001001646,1,1458474794552
708,-7.2793484,112.797226,0.020595092,1,1458474794559
709,-7.2793484,112.797226,0.001634893,1,1458474794569
710,-7.2793484,112.797226,0.009699700,1,1458474794579
711,-7.2793484,112.797226,0.164431050,1,1458474794589
712,-7.2793484,112.797226,0.066256300,1,1458474794601
713,-7.2793484,112.797226,0.288732140,1,1458474794609
714,-7.2793484,112.797226,0.181868210,1,1458474794620
715,-7.2793484,112.797226,0.131169810,1,1458474794633
716,-7.2793484,112.797226,0.107264670,1,1458474794639
717,-7.2793484,112.797226,0.212699040,1,1458474794651
718,-7.2793484,112.797226,0.150070350,1,1458474794659
719,-7.2793484,112.797226,0.140233920,1,1458474794669
720,-7.2793484,112.797226,0.002313748,1,1458474794681
721,-7.2793484,112.797226,0.166793960,1,1458474794689
722,-7.2793484,112.797226,0.125470370,1,1458474794712
723,-7.2793484,112.797226,0.162561850,1,1458474794702
724,-7.2793484,112.797226,0.113528450,1,1458474794720
725,-7.2793484,112.797226,0.043146250,1,1458474794733
726,-7.2793484,112.797226,0.096539690,1,1458474794740
727,-7.2793484,112.797226,0.058371477,1,1458474794751
728,-7.2793484,112.797226,0.009277448,1,1458474794761
729,-7.2793484,112.797226,0.030835083,1,1458474794769
730,-7.2793484,112.797226,0.021305634,1,1458474794780
731,-7.2793484,112.797226,0.091764010,1,1458474794794
732,-7.2793484,112.797226,0.000000232,1,1458474794799
733,-7.2793484,112.797226,0.002442992,1,1458474794811
734,-7.2793484,112.797226,0.007956625,1,1458474794819
735,-7.2793484,112.797226,0.061685037,1,1458474794829
736,-7.2793484,112.797226,0.005980491,1,1458474794841
737,-7.2793484,112.797226,0.012992612,1,1458474794849
738,-7.2793484,112.797226,0.072904540,1,1458474794860
739,-7.2793484,112.797226,0.078097254,1,1458474794879
740,-7.2793484,112.797226,0.115778185,1,1458474794890
741,-7.2793484,112.797226,0.029926626,1,1458474794872
742,-7.2793484,112.797226,0.036504384,1,1458474794900
743,-7.2793484,112.797226,0.039181244,1,1458474794921
744,-7.2793484,112.797226,0.050189443,1,1458474794930
745,-7.2793484,112.797226,0.004832523,1,1458474794909
746,-7.2793484,112.797226,0.009192692,1,1458474794939
747,-7.2793484,112.797226,0.000000127,1,1458474794949
748,-7.2793484,112.797226,0.008131264,1,1458474794959
749,-7.2793484,112.797226,0.001991075,1,1458474794970
750,-7.2793484,112.797226,0.018202040,1,1458474794979
751,-7.2793484,112.797226,0.048541054,1,1458474794989
752,-7.2793484,112.797226,0.004583559,1,1458474795009
753,-7.2793484,112.797226,0.028491562,1,1458474795019
754,-7.2793484,112.797226,0.003666749,1,1458474795010
